player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
Nasir Jamshed,Batter,1418,73.43345417,1931,0,0,0,466,466,0,225,241,3,Pakistan,
T Chetty,Batter,1414,68.50775194,2064,0,0,0,471,471,0,290,181,3,South Africa,
SO Hetmyer,Batter,1410,105.6179775,1335,0,0,0,429,429,0,165,264,4,West Indies,
Javeria Khan,Batter,1408,61.51157711,2289,8,271,299,463,463,0,223,240,2,Pakistan,176
ML Green,Batter,1407,67.7093359,2078,0,81,79,433,433,0,225,208,3,New Zealand,
WIA Fernando,Batter,1404,84.93647913,1653,0,0,0,511,511,0,237,274,6,Sri Lanka,
Rohan Mustafa,Batter,1401,61.96373286,2261,87,2654,3508,99,99,0,34,65,4,United Arab Emirates,16.10344828
Waseem Muhammad,Batter,1398,85.87223587,1628,0,96,75,99,99,0,34,65,2,United Arab Emirates,
L Ronchi,Batter,1397,112.5705077,1241,0,0,0,439,439,0,228,211,1,New Zealand,
MP Vaughan,Batter,1382,65.25023607,2118,9,429,522,509,509,0,291,218,2,England,153.5555556
Jatinder Singh,Batter,1356,71.36842105,1900,1,37,43,52,52,0,27,25,2,Oman,1356
GH Lewis,Batter,1348,65.9813999,2043,8,373,390,162,162,0,58,104,2,Ireland,168.5
JR Hopes,Batter,1326,92.33983287,1436,73,2414,3132,545,545,0,381,164,2,Australia,18.16438356
Anamul Haque,Batter,1322,74.06162465,1785,0,0,0,342,342,0,134,208,2,Bangladesh,
KM Jadhav,Batter,1318,100.841622,1307,28,1005,1173,576,576,0,357,219,3,India,47.07142857
M Kaif,Batter,1314,63.72453928,2062,0,0,0,570,570,0,353,217,1,India,
Asad Shafiq,Batter,1312,66.06243706,1986,0,18,12,460,460,0,222,238,0,Pakistan,
S Matsikenyeri,Batter,1309,66.51422764,1968,15,563,687,266,266,0,64,202,0,Zimbabwe,87.26666667
MA Leask,Batter,1306,111.3384484,1173,64,1789,2184,101,101,0,54,47,3,Scotland,20.40625
BA King,Batter,1306,82.8680203,1576,0,0,0,430,430,0,166,264,4,West Indies,
Mashrafe Mortaza,Batter,1304,81.04412679,1609,227,7441,8756,343,343,0,134,209,9,Bangladesh,5.744493392
M van Lingen,Batter,1300,90.15256588,1442,2,65,76,55,55,0,26,29,4,Namibia,650
HH Dippenaar,Batter,1283,67.41986337,1903,0,0,0,445,445,0,272,173,7,South Africa,
LPC Silva,Batter,1279,70.85872576,1805,1,34,44,496,496,0,231,265,1,Sri Lanka,1279
Fargana Hoque,Batter,1275,49.39945757,2581,0,0,0,333,333,0,130,203,1,Bangladesh,
DR Smith,Batter,1261,88.18181818,1430,53,1888,2257,426,426,0,165,261,3,West Indies,23.79245283
Sabbir Rahman,Batter,1259,90.25089606,1395,3,337,289,335,335,0,132,203,0,Bangladesh,419.6666667
C Munro,Batter,1249,103.4797017,1207,9,483,563,439,439,0,228,211,0,New Zealand,138.7777778
JD Ryder,Batter,1242,95.98145286,1294,11,357,359,435,435,0,226,209,3,New Zealand,112.9090909
RR Rossouw,Batter,1239,92.39373602,1341,1,44,46,451,451,0,277,174,1,South Africa,1239
GC Wilson,Batter,1232,74.53115547,1653,0,0,0,164,164,0,60,104,1,Ireland,
Imran Farhat,Batter,1232,64.5364065,1909,2,44,51,467,467,0,226,241,1,Pakistan,616
MJ Prior,Batter,1229,74.39467312,1652,0,0,0,503,503,0,288,215,1,England,
DP Conway,Batter,1226,86.95035461,1410,0,0,0,431,431,0,224,207,3,New Zealand,
IK Pathan,Batter,1226,79.19896641,1548,156,4419,5050,563,563,0,348,215,5,India,7.858974359
PG Fulton,Batter,1216,70.45191194,1726,0,0,0,443,443,0,231,212,3,New Zealand,
Shahriar Nafees,Batter,1216,66.92350028,1817,0,0,0,345,345,0,134,211,3,Bangladesh,
Aliya Riaz,Batter,1207,63.66033755,1896,13,806,894,463,463,0,223,240,1,Pakistan,92.84615385
RS Morton,Batter,1205,64.36965812,1872,0,2,6,408,408,0,157,251,2,West Indies,
TP Ura,Batter,1196,78.37483617,1526,0,12,6,63,63,0,12,51,1,Papua New Guinea,
Vikramjit Singh,Batter,1190,70.33096927,1692,7,261,257,90,90,0,29,61,2,Netherlands,170
Mehedi Hasan Miraz,Batter,1188,78.36411609,1516,107,3511,4240,336,336,0,132,204,5,Bangladesh,11.10280374
K Bhurtel,Batter,1182,78.90520694,1498,12,292,361,65,65,0,33,32,3,Nepal,98.5
Raqibul Hasan,Batter,1177,61.62303665,1910,0,0,0,337,337,0,132,205,0,Bangladesh,
A Gardner,Batter,1175,100.5993151,1168,103,2068,3018,527,527,0,367,160,4,Australia,11.40776699
Nida Dar,Batter,1171,65.63901345,1784,62,2224,2917,463,463,0,223,240,2,Pakistan,18.88709677
SA Campbelle,Batter,1167,59.90759754,1948,4,130,195,420,420,0,163,257,1,West Indies,291.75
Nazmul Hossain Shanto,Batter,1165,79.95881949,1457,1,59,72,329,329,0,127,202,2,Bangladesh,1165
KJ Martin,Batter,1161,75.5859375,1536,0,0,0,426,426,0,222,204,1,New Zealand,
Asif Khan,Batter,1155,80.99579243,1426,0,0,0,99,99,0,34,65,4,United Arab Emirates,
MD Shanaka,Batter,1153,87.54745634,1317,22,844,938,498,498,0,231,267,1,Sri Lanka,52.40909091
Nahida Khan,Batter,1121,63.69318182,1760,0,12,12,456,456,0,221,235,0,Pakistan,
RW Chakabva,Batter,1106,67.03030303,1650,0,0,0,274,274,0,66,208,0,Zimbabwe,
L Vincent,Batter,1089,68.36158192,1593,1,22,18,434,434,0,225,209,4,New Zealand,1089
F Behardien,Batter,1074,96.40933573,1114,12,694,716,463,463,0,284,179,1,South Africa,89.5
S Samarawickrama,Batter,1073,90.625,1184,0,0,0,495,495,0,230,265,2,Sri Lanka,
WW Hinds,Batter,1066,65.5596556,1626,22,515,626,424,424,0,164,260,1,West Indies,48.45454545
Aftab Ahmed,Batter,1061,73.12198484,1451,4,379,411,344,344,0,134,210,2,Bangladesh,265.25
CM Edwards,Batter,1054,71.99453552,1464,2,51,48,507,507,0,291,216,4,England,527
JI Rodrigues,Batter,1051,80.90839107,1299,5,13,39,578,578,0,359,219,2,India,210.2
FDM Karunaratne,Batter,1044,76.59574468,1363,0,18,16,511,511,0,237,274,1,Sri Lanka,
SM Katich,Batter,1041,68.62228082,1517,0,0,0,537,537,0,376,161,0,Australia,
MN Waller,Batter,1039,75.12653651,1383,9,497,580,261,261,0,62,199,1,Zimbabwe,115.4444444
RP Arnold,Batter,1039,69.68477532,1491,8,326,352,509,509,0,236,273,0,Sri Lanka,129.875
AD Russell,Batter,1034,128.447205,805,72,2235,2362,426,426,0,165,261,5,West Indies,14.36111111
Aarif Sheikh,Batter,1032,62.62135922,1648,8,589,762,65,65,0,33,32,2,Nepal,129
Junaid Siddique,Batter,1021,66.68843893,1531,77,2137,2575,99,99,0,34,65,0,United Arab Emirates,13.25974026
KU Carty,Batter,1000,75.93014427,1317,0,28,27,430,430,0,166,264,0,West Indies,
KH Prajapati,Batter,996,73.72316802,1351,0,1,2,51,51,0,27,24,1,Oman,
C Kieswetter,Batter,985,87.16814159,1130,0,0,0,517,517,0,295,222,1,England,
DS Smith,Batter,973,70.55837563,1379,0,17,18,414,414,0,161,253,1,West Indies,
JN Malan,Batter,958,81.39337298,1177,0,0,0,458,458,0,282,176,2,South Africa,
AJ Blackwell,Batter,953,75.75516693,1258,0,0,0,516,516,0,360,156,2,Australia,
CJA Amini,Batter,952,61.61812298,1545,33,1298,1620,63,63,0,12,51,2,Papua New Guinea,28.84848485
