player_name,Total_Runs,POM_Awards
DD Ebrahim,555,0
DJ Mitchell,1616,0
DI Joyce,29,0
DI Allan,18,0
DG Brownlie,361,0
DG Blampied,7,0
DF Watts,130,0
DES Maxwell,54,0
DEM Carter,200,0
DE Budge,237,0
DJM Short,211,0
CNIM Joyce,228,0
CN Nation,831,0
CN Ackermann,326,0
CMW Read,156,0
CMA Shillington,179,0
CM Beggs,1,0
CKB Kulasekara,38,0
CK Kruger,3,0
D Foxcroft,0,0
CK Holder,0,0
CJO Smith,157,0
CJ Smith,27,0
CJ Nevin,83,0
CJ Metcalfe,21,0
CJ Bowes,99,0
CH van Koolwijk,25,0
CE Coulter Reilly,126,0
CD de Lange,65,0
CK Hooper,4,0
D Elgar,104,0
D Dhingra,237,0
D Devnarain,145,0
D Daesrath,31,0
D Cleaver,32,0
D Bishoo,164,0
D Bau,130,0
CW Perchard,31,0
CO Browne,144,0
CT Dhururu,140,0
CS Terblanche,38,0
CS Mugeri-Tiripano,280,0
CS Fraser,62,0
CS Baugh,382,0
CR Seneviratna,133,0
CR Foggo,6,0
CR Brathwaite,527,0
CP Jack,17,0
CT Mutombodzi,122,0
GC Tonge,10,0
GC Bhogle,82,0
GB Murgatroyd,90,0
GA Rogers,32,0
GA Manou,7,0
GA Guy,0,0
G Voll,173,0
G Toka,268,0
DR Chumney,219,0
G Onions,1,0
G Malla,753,0
G Kirsten,186,0
G Fontenla,1,0
G Chapple,14,0
Fazle Mahmud,0,0
Fayyaz Ahmed,41,0
Fariha Trisna,0,0
Faisal Iqbal,134,0
G Sultana,61,0
H Davids,8,0
H Carlyon,125,0
Ghulam Shabber,444,0
GWHM Perera,668,0
GS Ballance,454,0
GP Tom,19,0
GM Strydom,67,0
GM Harris,13,0
GE Plimmer,256,0
GM Ewing,77,0
GJ McCarter,1,0
GJ Hopkins,236,0
GJ Delany,217,0
GI Maiden,12,0
GH Worker,272,0
GH O'Brien,2,0
GF Linde,27,0
GEF Barnett,95,0
GM Hamilton,173,0
ES Szwarczynski,281,0
EN Lynch,115,0
EMDY Munaweera,15,0
EL Watson,50,0
EJB Miles,1,0
EC Rainsford,31,0
EC Perry,21,0
E Schiferli,79,0
Faisal Hossain,26,0
E Claridge,79,0
Dilara Akter,8,0
Diana Baig,262,0
Dhiman Ghosh,124,0
DT Christian,273,0
DSK Madushanka,7,0
DS Weerakkody,73,0
DS Bajwa,74,0
DR Mousley,69,0
E Mbofana,22,0
Faisal Athar,9,0
Fahad Nawaz,2,0
FY Fazal,55,0
FRJ Coleman,160,0
FR Davies,13,0
FL Reifer,86,0
FL Mackay,125,0
FC Wilson,412,0
Ebadat Hossain,3,0
F Walters,16,0
F Tunnicliffe,15,0
F Overdijk,224,0
F Mutizwa,183,0
F Kasteni,9,0
F Hand,0,0
Ethan D'Souza,9,0
Ehsanul Haque,28,0
Ehsan Adil,27,0
FC Jonas,14,0
AJ Tye,57,0
AJ Stewart,287,0
AJ Redmond,152,0
AJ Ireland,12,0
AJ Hosein,266,0
AI Chudasama,79,0
AG Puttick,0,0
AF Sattaur,20,0
CD Wallace,515,0
AF Buurman,26,0
AE Smith,45,0
ADS Fletcher,305,0
ADR Campbell,7,0
ADJ Pitcher,8,0
AD Poynter,65,0
AD Janakanthymala,1,0
AC Cummins,21,0
AC Botha,265,0
AF Giles,286,0
Aaditya Varadarajan,36,0
ASS Fletcher,282,0
AS van Beuge,68,0
AR White,301,0
AR Pitcher,30,0
AR Berenger,53,0
APS Lakshika,0,0
AN Petersen,498,0
AK Perera,52,0
AM Tribe,233,0
AM Samad,226,0
AM McCarthy,15,0
AM Hardie,134,0
AM Bacher,102,0
AL Watkins,0,0
AL Kandappah,97,0
AL Hodgkinson,121,0
AK Peters,6,0
AN Kervezee,110,0
ZE Surkari,127,0
ZE Green,686,0
Z Mali,2,0
Z James,89,0
Z Groenewald,4,0
Z Crawley,199,0
Yasir Arafat,64,0
Yasir Ali Chowdhury,101,0
AB Kaur,55,0
Y Venugopal Rao,161,0
Wasim Ali,26,0
Washington Sundar,315,0
Waqas Khan,52,0
Waqas Barkat,25,0
Waqar Younis,17,0
A Athanaze,306,0
A Ashok,10,0
A Aitken-Drummond,33,0
Y van der Westhuizen,23,0
AB Dinda,21,0
AB Barath,394,0
AAP Atkinson,63,0
AA Shafique,13,0
AA Paradkar,51,0
AA Obanda,487,0
AA Mulla,150,0
AA Deshpande,32,0
Zafar Gohar,15,0
A van der Merwe,4,0
A le Breton,3,0
A Valthapa,14,0
Zulfiqar Babar,35,0
Zubayr Hamza,56,0
Zeeshan Siddiqi,7,0
Zakir Hasan,1,0
Zahoor Khan,143,0
Zahid Mahmood,9,0
AA Alleyne,341,0
C Abel,9,0
Bilawal Bhatti,89,0
Batool Fatima,64,0
BYA Mendis,147,0
BR McDermott,223,0
BR Dorey,2,0
BP Nash,21,0
BP Kruger,8,0
Abdul Jabbar,59,0
BN Cooper,148,0
BMSM Kumari,99,0
BM Halliday,828,0
BM Duckett,700,0
