player_name,Total_Wickets,Total_Overs,Total_Runs,Wickets_Per_Over,Runs_Per_Wicket
AJ Turner,2,86,60,0.023,30.0
AF Giles,38,1628,1144,0.023,30.11
WK McCallan,14,612,425,0.023,30.36
BCJ Cutting,5,220,160,0.023,32.0
TS Sekhukhune,27,1150,875,0.023,32.41
JR Hopes,73,3132,2414,0.023,33.07
MS Panesar,30,1314,1000,0.023,33.33
LPC Silva,1,44,34,0.023,34.0
H Deol,2,87,69,0.023,34.5
PA Chatterji,8,351,284,0.023,35.5
DR Smith,53,2257,1888,0.023,35.62
PD Collingwood,96,4250,3444,0.023,35.88
V Sehwag,58,2475,2083,0.023,35.91
RC Irani,8,355,288,0.023,36.0
A Nao,20,871,724,0.023,36.2
Jatinder Singh,1,43,37,0.023,37.0
Asmavia Iqbal,27,1165,1019,0.023,37.74
SZ Thakor,10,442,378,0.023,37.8
JM Vince,1,43,38,0.023,38.0
Shafali Verma,2,87,76,0.023,38.0
MA Aponso,10,431,381,0.023,38.1
MD Shanaka,22,938,844,0.023,38.36
AM Hardie,7,301,269,0.023,38.43
G Kodali,7,306,275,0.023,39.29
E Chigumbura,88,3753,3551,0.023,40.35
RP Arnold,8,352,326,0.023,40.75
Agha Salman,15,662,622,0.023,41.47
MP Stoinis,48,2073,2067,0.023,43.06
AB Dinda,14,613,618,0.023,44.14
LP van Troost,1,43,82,0.023,82.0
Tushar Imran,2,90,59,0.022,29.5
P Marange,10,457,307,0.022,30.7
GM Ewing,6,273,186,0.022,31.0
GP Tom,4,184,127,0.022,31.75
TB Sole,9,412,291,0.022,32.33
SFM Devine,55,2489,1914,0.022,34.8
GB Brent,25,1140,900,0.022,36.0
S Matsikenyeri,15,687,563,0.022,37.53
RS Bopara,41,1858,1546,0.022,37.71
J Patraj,2,92,76,0.022,38.0
BMAJ Mendis,31,1394,1199,0.022,38.68
SC Ganguly,22,1015,864,0.022,39.27
CS Fraser,9,409,358,0.022,39.78
TM Head,25,1117,1062,0.022,42.48
MM Lanning,1,45,44,0.022,44.0
RR Rossouw,1,46,44,0.022,44.0
B Ward,4,183,186,0.022,46.5
PM Liyanagamage,5,229,271,0.022,54.2
RL Bhudia,1,48,23,0.021,23.0
H Graham,1,48,30,0.021,30.0
SA Campbelle,4,195,130,0.021,32.5
L Tshuma,10,466,328,0.021,32.8
DEM Carter,8,380,268,0.021,33.5
V Buruka,3,143,106,0.021,35.33
Nida Dar,62,2917,2224,0.021,35.87
CL Tryon,40,1914,1445,0.021,36.12
J Botha,77,3673,2839,0.021,36.87
Saud Shakeel,1,47,37,0.021,37.0
NB Mahwire,8,389,297,0.021,37.12
S Bau,13,613,492,0.021,37.85
Mohammad Nawaz,21,982,843,0.021,40.14
E Schiferli,8,388,331,0.021,41.38
T Kamungozi,12,580,500,0.021,41.67
JP Duminy,74,3460,3094,0.021,41.81
KM Dabengwa,15,715,647,0.021,43.13
SS Pathirana,16,776,724,0.021,45.25
Haris Sohail,13,613,593,0.021,45.62
WG Jacks,5,240,229,0.021,45.8
