player_name,Overall_Strike_Rate
A Sharafu,66.75324675
H Madavi,66.69716377
Junaid Siddique,66.68843893
ADJ Pitcher,66.66666667
K Gowtham,66.66666667
Kaynat Hafeez,66.66666667
CC Dalton,66.66666667
MJ Humphreys,66.66666667
MT Chinouya,66.66666667
Shahid Ahmadzai,66.66666667
SRH Curtis,66.66666667
C Prathyusha,66.66666667
BP Kruger,66.66666667
PKD Chase,66.66666667
KED Carroll,66.66666667
BJ Watling,66.62790698
PJ Moor,66.58130602
SJ Bryce,66.53696498
MH Yardy,66.53061224
S Matsikenyeri,66.51422764
B de Leede,66.43678161
Umar Amin,66.42156863
SSD Arachchige,66.41791045
D Ravu,66.32124352
HM Rowe,66.26746507
ML Udawatte,66.21253406
UDU Chandana,66.15776081
MA Jones,66.15120275
NND de Silva,66.07142857
Asad Shafiq,66.06243706
BM Scholtz,66.05263158
Natalia Pervaiz,66.03773585
GH Lewis,65.9813999
D la Cock,65.89473684
LS Greenway,65.82733813
G Malla,65.76419214
M Vijay,65.69767442
NW Bracken,65.66037736
Nida Dar,65.63901345
Yasir Hameed,65.57303371
WW Hinds,65.5596556
AG Wharf,65.51724138
T Granger,65.51724138
D Dhingra,65.46961326
DNT Zoysa,65.45454545
CJO Smith,65.41666667
CP Jack,65.38461538
S Luus,65.28562461
MP Vaughan,65.25023607
JP Maher,65.24064171
J Gumbie,65.232358
DR Chumney,65.17857143
D Parashar,65.16853933
B Ward,65.09433962
GR Codrington,65.04065041
B Sharki,65.03237743
NG Smith,65.0
HHC Gunaratne,65.0
KNA Bandara,64.97695853
ASS Fletcher,64.97695853
MA Vermeulen,64.94974874
MM Patel,64.9122807
KA Edwards,64.90196078
F Mutizwa,64.89361702
Irfan Khan,64.86486486
MS Sinclair,64.8409894
Saleem Elahi,64.82084691
JM How,64.80331263
M Musonda,64.69135802
JM Fields,64.56456456
HJW Gardiner,64.54545455
Imran Farhat,64.5364065
HGV Vare,64.51612903
RS Morton,64.36965812
Amjad Ali,64.34108527
SO Tikolo,64.26618049
MG Bevan,64.14613424
N Hussain,64.14141414
S Naik,64.1025641
NE Farrant,64.0625
J Nkomo,64.01446655
GA Rogers,64.0
J Kila,63.85542169
I Kaia,63.84615385
NY McLean,63.8121547
R Malhotra,63.78378378
PJ Forrest,63.77816291
Khurram Manzoor,63.77708978
FL Mackay,63.7755102
J Mubarak,63.7454982
Usman Limbada,63.73056995
M Kaif,63.72453928
S Chattergoon,63.71882086
Nahida Khan,63.69318182
NFI McCallum,63.66120219
Aliya Riaz,63.66033755
A Valthapa,63.63636364
MDT Kamini,63.48920863
CJ Chibhabha,63.48242812
Sami Aslam,63.41463415
TV Mufambisi,63.38028169
PP Chawla,63.33333333
T Marumani,63.31360947
Bismah Maroof,63.27130264
AC Botha,63.24582339
RP Lefebvre,63.23529412
TL Best,63.15789474
RD Jacobs,63.11111111
Khalid Latif,63.09012876
JP Bray,63.07277628
C Carter,63.06818182
Sidra Ameen,63.04347826
T Ruma,63.04347826
SA Engelbrecht,63.00578035
Rabiya Shah,62.99212598
