player_name,total_matches_played,matches_won,total_runs,Strike_Rate,Win_Percentage
MJ Hay,216,113,59,81.94,52.31481481481482
TB Robinson,216,113,48,97.96,52.31481481481482
CJ Bowes,333,174,99,81.82,52.252252252252255
MS Sinclair,425,222,367,64.84,52.23529411764706
RH Priest,412,215,661,81.0,52.18446601941748
BB McCullum,443,231,5157,94.5,52.144469525959366
PG Fulton,443,231,1216,70.45,52.144469525959366
NT Broom,443,231,919,78.68,52.144469525959366
KJ Martin,426,222,1161,75.59,52.11267605633803
KT Perkins,426,222,618,73.75,52.11267605633803
KE Ebrahim,238,124,52,54.74,52.10084033613445
DG Brownlie,432,225,361,72.2,52.083333333333336
CJ Nevin,411,214,83,54.97,52.06812652068127
RA Jones,315,164,96,51.34,52.06349206349206
EC Perry,244,127,21,75.0,52.049180327868854
LRPL Taylor,444,231,8126,80.94,52.027027027027025
MJ Guptill,444,231,7125,85.25,52.027027027027025
JM How,444,231,939,64.8,52.027027027027025
GJ Hopkins,444,231,236,74.45,52.027027027027025
JAH Marshall,427,222,33,39.29,51.99063231850117
MHW Papps,427,222,32,50.79,51.99063231850117
SJ McGlashan,402,209,160,68.38,51.99004975124378
DJ Mitchell,431,224,1616,96.59,51.97215777262181
